,scripture_references
190,D&C 107:25; Faith 1:1; 2 Nephi 5:27; Mosiah 4:27; Alma 7:23–25; Exodus 20:14; Deuteronomy 6:5; John 13:34–35; Romans 1:24–32; 1 Thessalonians 4:3; Alma 39:3–5; Mosiah 4:21–27; Doctrine and Covenants 104:15; Matthew 6:5–13; 2 Nephi 32:8; 3 Nephi 18:21; Doctrine and Covenants 10:5; Proverbs 15:1; Colossians 4:6; James 5:12; 3 Nephi 11:29; Doctrine and Covenants 64:10; Matthew 25:14–30; John 10:1–14; Doctrine and Covenants 50:26; Genesis 2:24; Jacob 2:27; Doctrine and Covenants 42:22; Mosiah 4:14–15; Doctrine and Covenants 68:25; Doctrine and Covenants 43:8; Moroni 7:15–19; Doctrine and Covenants 9:7; Doctrine and Covenants 33:8; Isaiah 55:8–9; D&C 1:16; Proverbs 3:5–7; D&C 82:10; 1 Samuel 16:7; D&C 104:16; Ether 12:11; 2 Nephi 31:21; Alma 29:1–2; John 14:6; Alma 38:9; D&C 59:23; 2 Nephi 5:27; Mosiah 4:27; Alma 7:23–25; Exodus 20:14; Deuteronomy 6:5; John 13:34–35; Romans 1:24–32; 1 Thessalonians 4:3; Alma 39:3–5; Mosiah 4:21–27; Doctrine and Covenants 104:15; Matthew 6:5–13; 2 Nephi 32:8; 3 Nephi 18:21; Doctrine and Covenants 10:5; Proverbs 15:1; Colossians 4:6; James 5:12; 3 Nephi 11:29; Doctrine and Covenants 64:10; Matthew 25:14–30; John 10:1–14; Doctrine and Covenants 50:26; Genesis 2:24; Jacob 2:27; Doctrine and Covenants 42:22; Mosiah 4:14–15; Doctrine and Covenants 68:25; Doctrine and Covenants 43:8; Moroni 7:15–19; Doctrine and Covenants 9:7; Doctrine and Covenants 33:8
191,Acts 1:3; Acts 1:8; Acts 1:9–11; Matthew 28:18–19; Acts 22:6–18; D&C 65:2
192,1 Nephi 19:6; Alma 7:12–13; Moses 3:18; Genesis 2:18; 1 Corinthians 11:11; Mosiah 3:19; Mosiah 16:5; Alma 42:10; Moses 5:13; Helaman 3:29; Alma 38:12; Matthew 16:24; Mark 8:34; Luke 9:23; D&C 56:2; Matthew 26:41; Mosiah 3:19; 2 Nephi 2:27; Mosiah 2:36–37; D&C 64:34; Alma 38:12; D&C 121:45; D&C 121:46; Alma 42:18; Moroni 9:9
193,1 Peter 3:15; Matthew 6:38; Matthew 6:33; Doctrine and Covenants 132:7; Doctrine and Covenants 88:73; History 1:17; John 17:3; Moses 1:39; Matthew 17:11; Acts 3:20–21; Ephesians 1:10; 2 Nephi 30:8; Doctrine and Covenants 132:40; 3 Nephi 27:13; Doctrine and Covenants 39:6; Faith 1:4; Doctrine and Covenants 27:5; History 1:33–34; Doctrine and Covenants 20:2; Doctrine and Covenants 110:11; Doctrine and Covenants 110:12; Doctrine and Covenants 110:13; Alma 12:28–30; 1 Corinthians 15:22; Alma 34:9; Isaiah 2:2; Isaiah 29:14; Genesis 14:18–20; Malachi 3:8–10; Genesis 14:18; Psalm 110:4; Alma 13:14–18; Doctrine and Covenants 84:14; Ezekiel 37:16; Doctrine and Covenants 27:5; 1 Corinthians 15:29; Doctrine and Covenants 137:7; Revelation 14:6; Doctrine and Covenants 133:36; Doctrine and Covenants 135:3; Moroni 10:4–5; Revelation 14:6; 1 Nephi 19:17; Doctrine and Covenants 133:37; 1 Peter 3:15; Matthew 6:38; Matthew 6:33; Doctrine and Covenants 132:7; Doctrine and Covenants 88:73; History 1:17; John 17:3; Moses 1:39; Matthew 17:11; Acts 3:20–21; Ephesians 1:10; 2 Nephi 30:8; Doctrine and Covenants 132:40; 3 Nephi 27:13; Doctrine and Covenants 39:6; Faith 1:4; Doctrine and Covenants 27:5; History 1:33–34; Doctrine and Covenants 20:2; Doctrine and Covenants 110:11; Doctrine and Covenants 110:12; Doctrine and Covenants 110:13; Alma 12:28–30; 1 Corinthians 15:22; Alma 34:9; Isaiah 2:2; Isaiah 29:14; Genesis 14:18–20; Malachi 3:8–10; Genesis 14:18; Psalm 110:4; Alma 13:14–18; Doctrine and Covenants 84:14; Ezekiel 37:16; Doctrine and Covenants 27:5; 1 Corinthians 15:29; Doctrine and Covenants 137:7; Revelation 14:6; Doctrine and Covenants 133:36; Doctrine and Covenants 135:3; Moroni 10:4–5; Revelation 14:6; 1 Nephi 19:17; Doctrine and Covenants 133:37
194,2 Timothy 3:1; Ephesians 6:13–17; Moses 5:23; Doctrine and Covenants 1:39; 2 Timothy 3:5; 2 Nephi 28:8; Nehemiah 6:3; Isaiah 53:3; Mosiah 14:3; Luke 4:8; Genesis 39:7–12; Alma 46:11–13; Luke 2:46–49; Matthew 21:12–13; Matthew 26:57; Doctrine and Covenants 19:16; John 19:30; 3 Nephi 11:7; Alma 13:3; 2 Timothy 1:9; Doctrine and Covenants 87:8; 1 Corinthians 16:13; 2 Timothy 3:1; Ephesians 6:13–17; Moses 5:23; Doctrine and Covenants 1:39; 2 Timothy 3:5; 2 Nephi 28:8; Nehemiah 6:3; Isaiah 53:3; Mosiah 14:3; Luke 4:8; Genesis 39:7–12; Alma 46:11–13; Luke 2:46–49; Matthew 21:12–13; Matthew 26:57; Doctrine and Covenants 19:16; John 19:30; 3 Nephi 11:7; Alma 13:3; 2 Timothy 1:9; Doctrine and Covenants 87:8; 1 Corinthians 16:13
195,D&C 42:61; D&C 6:14; Matthew 18:11
196,Doctrine and Covenants 84:111; Mark 8:35; Doctrine and Covenants 13:1; Doctrine and Covenants 84:88; Matthew 20:27–28; Doctrine and Covenants 107:85; Ephesians 4:29; Doctrine and Covenants 84:111; Mark 8:35; Doctrine and Covenants 13:1; Doctrine and Covenants 84:88; Matthew 20:27–28; Doctrine and Covenants 107:85; Ephesians 4:29
197,Romans 3:23; Helaman 5:12; Ephesians 2:19; Mosiah 18:9; Doctrine and Covenants 81:5; Jacob 2:8; Romans 8:16–17; Doctrine and Covenants 84:33; 1 Corinthians 1:27; Romans 8:31; Malachi 3:10; Matthew 16:25; Ephesians 4:13; Romans 3:23; Helaman 5:12; Ephesians 2:19; Mosiah 18:9; Doctrine and Covenants 81:5; Jacob 2:8; Romans 8:16–17; Doctrine and Covenants 84:33; 1 Corinthians 1:27; Romans 8:31; Malachi 3:10; Matthew 16:25; Ephesians 4:13
198,Doctrine and Covenants 38:40; Doctrine and Covenants 38:40
199,Matthew 28:19–20; Alma 17:2–3; 1 Peter 3:15; Doctrine and Covenants 4:2; Doctrine and Covenants 18:15; John 21:22; Matthew 28:19–20; Alma 17:2–3; 1 Peter 3:15; Doctrine and Covenants 4:2; Doctrine and Covenants 18:15; John 21:22
200,Doctrine and Covenants 88:11; Doctrine and Covenants 84:45; Doctrine and Covenants 6:21; 1 Corinthians 2:14; Alma 34:31; James 4:8; Doctrine and Covenants 88:63; Doctrine and Covenants 50:24; John 8:12; 1 John 1:5; Doctrine and Covenants 88:11; Doctrine and Covenants 84:45; Doctrine and Covenants 6:21; 1 Corinthians 2:14; Alma 34:31; James 4:8; Doctrine and Covenants 88:63; Doctrine and Covenants 50:24; John 8:12; 1 John 1:5
201,Matthew 28:19; Mark 16:15; Matthew 28:20; Mark 16:17–18; Acts 2:14; Doctrine and Covenants 1:4; Doctrine and Covenants 58:64; Doctrine and Covenants 1:5; 1 Nephi 14:12; Daniel 2:34–35; 2 Corinthians 3:3; 1 Peter 3:15; Doctrine and Covenants 1:16; Doctrine and Covenants 132:8; Doctrine and Covenants 45:26; Amos 8:12; 3 Nephi 18:24; Doctrine and Covenants 84:85; John 1:38; John 1:39; John 1:41; Doctrine and Covenants 37:4; Doctrine and Covenants 1:4; Doctrine and Covenants 1:11; Matthew 28:19; Mark 16:15; Matthew 28:20; Mark 16:17–18; Acts 2:14; Doctrine and Covenants 1:4; Doctrine and Covenants 58:64; Doctrine and Covenants 1:5; 1 Nephi 14:12; Daniel 2:34–35; 2 Corinthians 3:3; 1 Peter 3:15; Doctrine and Covenants 1:16; Doctrine and Covenants 132:8; Doctrine and Covenants 45:26; Amos 8:12; 3 Nephi 18:24; Doctrine and Covenants 84:85; John 1:38; John 1:39; John 1:41; Doctrine and Covenants 37:4; Doctrine and Covenants 1:4; Doctrine and Covenants 1:11
202,Helaman 5:12; Helaman 5:14; Helaman 5:29–30; Doctrine and Covenants 100:5; 2 Nephi 25:23; Matthew 3:17; Helaman 5:12; Helaman 5:14; Helaman 5:29–30; Doctrine and Covenants 100:5; 2 Nephi 25:23; Matthew 3:17
203,Proverbs 15:1; Alma 5:11–12; Moroni 7:43–48; Doctrine and Covenants 107:27; Doctrine and Covenants 42:45; Doctrine and Covenants 42:22; Doctrine and Covenants 123:17; 4 Nephi 1:11; Proverbs 15:1; Alma 5:11–12; Moroni 7:43–48; Doctrine and Covenants 107:27; Doctrine and Covenants 42:45; Doctrine and Covenants 42:22; Doctrine and Covenants 123:17; 4 Nephi 1:11
204,Moses 4:1–3; 2 Nephi 2:11; 2 Nephi 2:27; Exodus 20:3–17; Alma 41:10; D&C 130:20
205,Doctrine and Covenants 93:24; 1 Samuel 15:22; Doctrine and Covenants 64:34; 1 Nephi 3:7; Genesis 22:12; Genesis 22:18; Abraham 3:25; Doctrine and Covenants 132:5; Hebrews 5:8–9; Matthew 4:1–11; Luke 22:44; Luke 22:42; John 21:22; Doctrine and Covenants 93:28; Doctrine and Covenants 93:24; 1 Samuel 15:22; Doctrine and Covenants 64:34; 1 Nephi 3:7; Genesis 22:12; Genesis 22:18; Abraham 3:25; Doctrine and Covenants 132:5; Hebrews 5:8–9; Matthew 4:1–11; Luke 22:44; Luke 22:42; John 21:22; Doctrine and Covenants 93:28
206,Mark 9:22–24; Alma 32:27; Mark 9:22; Mark 9:22; Mark 9:24–27; Matthew 17:20; Helaman 5:50; Matthew 7:16; Acts 4:16; 2 Nephi 31:13; Mark 5:36; Faith 1:1–13; 2 Peter 1:19; Mark 9:22–24; Alma 32:27; Mark 9:22; Mark 9:22; Mark 9:24–27; Matthew 17:20; Helaman 5:50; Matthew 7:16; Acts 4:16; 2 Nephi 31:13; Mark 5:36; Faith 1:1–13; 2 Peter 1:19
207,Matthew 4:19; John 3:5; Mark 1:9; John 3:22–26; Matthew 4:17; John 14:15; Luke 16:15; Mark 7:8; John 15:19; 1 Peter 2:9; John 12:43; Matthew 7:24; Luke 11:28; Matthew 24:46; Matthew 26:22; Matthew 26:26; Mark 14:21–24; Luke 18:1; Luke 6:12; Matthew 16:18–19; Mark 3:14–15; Luke 6:13; Luke 9:62; Mark 10:6–8; Matthew 18:11–14; Luke 15:3–7; Matthew 22:39; Luke 6:27–28; John 13:34–35; Matthew 18:21–35; Mark 11:25–26; Luke 6:37; Matthew 25:31–46; Mark 14:7; Matthew 5:48; John 20:17; Romans 8:16–17; Titus 3:7; Revelation 21:7; John 14:6; Matthew 4:19
208,John 17:3; History 1:17; Acts 7:56; Revelation 4:8; Revelation 5:9; 3 Nephi 11:7; Matthew 7:21; John 5:19; Luke 23:46; 1 Corinthians 15:24; John 17:20–22; John 14:26; 2 Nephi 31:18; 3 Nephi 9:20; Moroni 6:2; John 3:5; 3 Nephi 11:31; Doctrine and Covenants 84:19; Colossians 1:15; Doctrine and Covenants 93:21; John 17:3; History 1:17; Acts 7:56; Revelation 4:8; Revelation 5:9; 3 Nephi 11:7; Matthew 7:21; John 5:19; Luke 23:46; 1 Corinthians 15:24; John 17:20–22; John 14:26; 2 Nephi 31:18; 3 Nephi 9:20; Moroni 6:2; John 3:5; 3 Nephi 11:31; Doctrine and Covenants 84:19; Colossians 1:15; Doctrine and Covenants 93:21
209,Doctrine and Covenants 131:1; Doctrine and Covenants 121:41; Mark 14:26; Doctrine and Covenants 25:12; Matthew 3:17; Mark 1:11; 3 Nephi 11:7; John 5:39; Psalm 119:103; Matthew 7:24; Doctrine and Covenants 131:1; Doctrine and Covenants 121:41; Mark 14:26; Doctrine and Covenants 25:12; Matthew 3:17; Mark 1:11; 3 Nephi 11:7; John 5:39; Psalm 119:103; Matthew 7:24
210,Alma 37:47; Doctrine and Covenants 97:8; Revelation 3:20; Alma 21:23; Mosiah 3:19; Luke 22:42; Doctrine and Covenants 97:8; Doctrine and Covenants 97:9; Matthew 25:21; Mosiah 2:22; Mosiah 2:41; Doctrine and Covenants 50:41; Alma 37:47; Doctrine and Covenants 97:8; Revelation 3:20; Alma 21:23; Mosiah 3:19; Luke 22:42; Doctrine and Covenants 97:8; Doctrine and Covenants 97:9; Matthew 25:21; Mosiah 2:22; Mosiah 2:41; Doctrine and Covenants 50:41
211,John 16:33; Moses 7:60; Luke 5:10; D&C 68:6; D&C 115:6; Daniel 2:31–45; D&C 65:2; 1 Nephi 14:14; only 7:00; Luke 24:5–6
212,1 Corinthians 15:22; Moses 6:54; 3 Nephi 27:14; Helaman 14:15–18; Moses 6:55–56; D&C 58:43; Moses 6:57; 2 Nephi 9:21; Alma 7:11–124; Alma 11:41; Alma 34:16; Covenants 19:16–17; 2 Nephi 2:29; Doctrine and Covenants 76:85; Doctrine and Covenants 76:32; D&C 138:57; Doctrine and Covenants 128:22; Acts 10:38; Matthew 20:28; Moses 6:54; 3 Nephi 27:14; Helaman 14:15–18; Alma 11:41; Alma 34:16; Covenants 19:16–17; 2 Nephi 2:29; Doctrine and Covenants 76:85; Doctrine and Covenants 76:32; Doctrine and Covenants 128:22
213,Psalm 30:5; Revelation 3:20; Psalm 30:5; Revelation 3:20
214,Doctrine and Covenants 87:8; Doctrine and Covenants 45:32; Doctrine and Covenants 115:6; History 1:29; Isaiah 1:18; Doctrine and Covenants 87:8; Doctrine and Covenants 45:32; Doctrine and Covenants 115:6; History 1:29; Isaiah 1:18
215,Matthew 25:1–13; Matthew 25:1–13
216,Doctrine and Covenants 87:8; Mosiah 5:15; Mosiah 18:9; 2 Nephi 32:5; Mosiah 18:9; 1 Corinthians 3:16; Moroni 9:9; Doctrine and Covenants 25:2; 1 Corinthians 6:9; 1 Thessalonians 5:22; 2 Timothy 2:22; Doctrine and Covenants 9:13; Genesis 24:20; Genesis 24:28; Genesis 24:58; 1 Nephi 3:7; Genesis 24:60; Doctrine and Covenants 88:40; Genesis 24:64; Genesis 24:67; Doctrine and Covenants 84:88; Doctrine and Covenants 87:8; Mosiah 5:15; Mosiah 18:9; 2 Nephi 32:5; Mosiah 18:9; 1 Corinthians 3:16; Moroni 9:9; Doctrine and Covenants 25:2; 1 Corinthians 6:9; 1 Thessalonians 5:22; 2 Timothy 2:22; Doctrine and Covenants 9:13; Genesis 24:20; Genesis 24:28; Genesis 24:58; 1 Nephi 3:7; Genesis 24:60; Doctrine and Covenants 88:40; Genesis 24:64; Genesis 24:67; Doctrine and Covenants 84:88
217,John 14:6; Doctrine and Covenants 68:6; Isaiah 41:10; John 14:18; 1 Samuel 16:7; 1 Peter 5:6; Jeremiah 29:13; John 15:12; John 13:34; Moroni 7:45–48; Doctrine and Covenants 138:56; Doctrine and Covenants 78:18; John 16:33; 3 Nephi 1:13; Doctrine and Covenants 59:23; John 14:6; Doctrine and Covenants 68:6; Isaiah 41:10; John 14:18; 1 Samuel 16:7; 1 Peter 5:6; Jeremiah 29:13; John 15:12; John 13:34; Moroni 7:45–48; Doctrine and Covenants 138:56; Doctrine and Covenants 78:18; John 16:33; 3 Nephi 1:13; Doctrine and Covenants 59:23
218,Alma 4:15–19; Alma 5:26; 2 Nephi 2:27; John 5:39; Amos 8:11; Alma 31:5; Alma 36:23–26; Revelation 3:15–16; Alma 5:33; Alma 13:27–30; Alma 39:5; Moroni 6:3; Mosiah 18:13; Isaiah 40:31; Alma 34:32; 1 Corinthians 9:24; Helaman 5:12; Isaiah 1:18; Alma 4:15–19; Alma 5:26; 2 Nephi 2:27; John 5:39; Amos 8:11; Alma 31:5; Alma 36:23–26; Revelation 3:15–16; Alma 5:33; Alma 13:27–30; Alma 39:5; Moroni 6:3; Mosiah 18:13; Isaiah 40:31; Alma 34:32; 1 Corinthians 9:24; Helaman 5:12; Isaiah 1:18
219,Romans 1:16; James 1:22; Mosiah 18:9; Luke 22:42; Romans 1:16; James 1:22; Mosiah 18:9; Luke 22:42
220,Doctrine and Covenants 121:26; Alma 12:7; Doctrine and Covenants 6:15; 2 Nephi 32:5; Doctrine and Covenants 130:22; Luke 4:1; John 1:33; Ephesians 1:13; Doctrine and Covenants 88:3; 2 Nephi 31:18; 3 Nephi 28:11; Doctrine and Covenants 20:27; Moroni 10:5; John 14:26; Doctrine and Covenants 35:19; Doctrine and Covenants 36:2; Philippians 4:7; Luke 12:12; 1 Corinthians 2:13; Doctrine and Covenants 50:13; Doctrine and Covenants 11:13; 2 Nephi 33:1; Doctrine and Covenants 8:3; Doctrine and Covenants 121:26; Alma 12:7; Doctrine and Covenants 6:15; 2 Nephi 32:5; Doctrine and Covenants 130:22; Luke 4:1; John 1:33; Ephesians 1:13; Doctrine and Covenants 88:3; 2 Nephi 31:18; 3 Nephi 28:11; Doctrine and Covenants 20:27; Moroni 10:5; John 14:26; Doctrine and Covenants 35:19; Doctrine and Covenants 36:2; Philippians 4:7; Luke 12:12; 1 Corinthians 2:13; Doctrine and Covenants 50:13; Doctrine and Covenants 11:13; 2 Nephi 33:1; Doctrine and Covenants 8:3
221,Moroni 8:10–12; Doctrine and Covenants 93:33; John 16:33; John 14:18–19; Moroni 8:10–12; Doctrine and Covenants 93:33; John 16:33; John 14:18–19
222,Doctrine and Covenants 4:3; Matthew 10:1; Luke 6:13; Ephesians 4:11–12; Doctrine and Covenants 1:30; Matthew 28:19; Doctrine and Covenants 68:8; 1 Corinthians 2:2; 2 Nephi 25:26; Doctrine and Covenants 93:36; Doctrine and Covenants 4:3; Matthew 10:1; Luke 6:13; Ephesians 4:11–12; Doctrine and Covenants 1:30; Matthew 28:19; Doctrine and Covenants 68:8; 1 Corinthians 2:2; 2 Nephi 25:26; Doctrine and Covenants 93:36
223,Alma 40:11; Matthew 6:20; Psalm 118:24; Mosiah 26:39; Doctrine and Covenants 59:7; Doctrine and Covenants 78:19; Alma 26:35; Revelation 7:17; Matthew 11:28–30; Psalm 24:4; Mosiah 16:8; 1 Corinthians 15:54; Alma 40:11; Matthew 6:20; Psalm 118:24; Mosiah 26:39; Doctrine and Covenants 59:7; Doctrine and Covenants 78:19; Alma 26:35; Revelation 7:17; Matthew 11:28–30; Psalm 24:4; Mosiah 16:8; 1 Corinthians 15:54
224,Genesis 2:24; Proverbs 22:6; 1 Nephi 15:24; John 15:19; Psalm 127:3
225,Ether 2:3; D&C 58:27; Matthew 22:37; James 1:27; Alma 5:12–21; D&C 121:35; D&C 121:41; D&C 121:42; D&C 121:45; D&C 121:45; Mosiah 5:2; D&C 121:45
226,1 Nephi 2:20; Alma 63:9–10; 1 Nephi 13:10; 1 Nephi 15:14; Moroni 10:4; Omni 1:26
227,Matthew 16:26; Doctrine and Covenants 84:38; Jacob 4:14; Moses 5:16; Doctrine and Covenants 19:18; Mark 10:21–22; Alma 22:15; Alma 22:16; Alma 22:18; Alma 5:14–19; Alma 60:7; Mark 1:18; Matthew 18:11; Jacob 1:8; Doctrine and Covenants 58:27; Luke 15:11–32; History 1:15–16; Doctrine and Covenants 19:38; Matthew 16:26; Doctrine and Covenants 84:38; Jacob 4:14; Moses 5:16; Doctrine and Covenants 19:18; Mark 10:21–22; Alma 22:15; Alma 22:16; Alma 22:18; Alma 5:14–19; Alma 60:7; Mark 1:18; Matthew 18:11; Jacob 1:8; Doctrine and Covenants 58:27; Luke 15:11–32; History 1:15–16; Doctrine and Covenants 19:38
228,Doctrine and Covenants 124:26; Doctrine and Covenants 97:15; Doctrine and Covenants 121:37; 1 Corinthians 3:16; Doctrine and Covenants 124:26; Doctrine and Covenants 97:15; Doctrine and Covenants 121:37; 1 Corinthians 3:16
229,John 17:3; 1 Peter 1:7; Luke 22:31–32; 1 Peter 4:12; Alma 1:25; Ephesians 2:19; Doctrine and Covenants 84:20; Mosiah 18:8–10; Matthew 5:28; John 8:11; Isaiah 55:8–9; John 14:27; Mormon 9:31; Helaman 5:12; 1 Peter 1:7; 1 Peter 4:13; Ether 12:6; Doctrine and Covenants 122:9; John 17:3; 1 Peter 1:7; Luke 22:31–32; 1 Peter 4:12; Alma 1:25; Ephesians 2:19; Doctrine and Covenants 84:20; Mosiah 18:8–10; Matthew 5:28; John 8:11; Isaiah 55:8–9; John 14:27; Mormon 9:31; Helaman 5:12; 1 Peter 1:7; 1 Peter 4:13; Ether 12:6; Doctrine and Covenants 122:9
230,Matthew 18:5–6; Matthew 18:3–4; 3 Nephi 11:38; Moroni 8:10
231,Joshua 1:6; D&C 68:28; Mosiah 5:1–12; D&C 118:3; D&C 100:5; D&C 43:16
232,Alma 53:20; Mosiah 18:9; Doctrine and Covenants 87:8; 2 Timothy 1:7; Doctrine and Covenants 84:20; Doctrine and Covenants 128:22; Alma 53:20; Mosiah 18:9; Doctrine and Covenants 87:8; 2 Timothy 1:7; Doctrine and Covenants 84:20; Doctrine and Covenants 128:22
233,Doctrine and Covenants 84:33; Doctrine and Covenants 84:38; Doctrine and Covenants 84:43; History 1:16; Moses 1:12–22; Helaman 5:12; 2 Nephi 1:13; Helaman 7:16; Mosiah 3:19; 1 Corinthians 2:14; Colossians 3:8–10; Ephesians 4:22–24; Galatians 3:27; Romans 13:14; 1 Samuel 13:14; 2 Samuel 11:1; Doctrine and Covenants 132:39; Doctrine and Covenants 23:1; Deuteronomy 6:12; Deuteronomy 8:11–19; Alma 46:8; Doctrine and Covenants 10:5; Doctrine and Covenants 52:12; Luke 22:31–32; Alma 37:15–17; 3 Nephi 18:18; Doctrine and Covenants 90:5; Doctrine and Covenants 41:1; Doctrine and Covenants 45:57; Doctrine and Covenants 46:8; Ephesians 4:14; Doctrine and Covenants 52:14; Colossians 2:8; Moroni 4:3; Doctrine and Covenants 20:77; 3 Nephi 18:1; Doctrine and Covenants 109:15; Mosiah 2:32; 3 Nephi 11:29; Mosiah 4:14; Doctrine and Covenants 121:36; Doctrine and Covenants 63:61; Doctrine and Covenants 121:41; Luke 12:15; Doctrine and Covenants 38:39; Matthew 6:33; 3 Nephi 13:33; Doctrine and Covenants 121:45; Doctrine and Covenants 67:11; Moses 1:11; Doctrine and Covenants 63:14; Matthew 5:27–28; 3 Nephi 12:27; Genesis 39:12; Doctrine and Covenants 10:27; 1 Peter 5:8; Doctrine and Covenants 3:9; 1 Corinthians 10:12; 2 Peter 3:17; Alma 13:27–29; Doctrine and Covenants 109:21; Luke 12:1; Doctrine and Covenants 50:6; Doctrine and Covenants 82:2; Doctrine and Covenants 82:1; Doctrine and Covenants 20:22; Hebrews 2:17–18; Doctrine and Covenants 84:43; Deuteronomy 4:9; Mosiah 4:29–30; Doctrine and Covenants 84:33; Doctrine and Covenants 84:38; Doctrine and Covenants 84:43; History 1:16; Moses 1:12–22; Helaman 5:12; 2 Nephi 1:13; Helaman 7:16; Mosiah 3:19; 1 Corinthians 2:14; Colossians 3:8–10; Ephesians 4:22–24; Galatians 3:27; Romans 13:14; 1 Samuel 13:14; 2 Samuel 11:1; Doctrine and Covenants 132:39; Doctrine and Covenants 23:1; Deuteronomy 6:12; Deuteronomy 8:11–19; Alma 46:8; Doctrine and Covenants 10:5; Doctrine and Covenants 52:12; Luke 22:31–32; Alma 37:15–17; 3 Nephi 18:18; Doctrine and Covenants 90:5; Doctrine and Covenants 41:1; Doctrine and Covenants 45:57; Doctrine and Covenants 46:8; Ephesians 4:14; Doctrine and Covenants 52:14; Colossians 2:8; Moroni 4:3; Doctrine and Covenants 20:77; 3 Nephi 18:1; Doctrine and Covenants 109:15; Mosiah 2:32; 3 Nephi 11:29; Mosiah 4:14; Doctrine and Covenants 121:36; Doctrine and Covenants 63:61; Doctrine and Covenants 121:41; Luke 12:15; Doctrine and Covenants 38:39; Matthew 6:33; 3 Nephi 13:33; Doctrine and Covenants 121:45; Doctrine and Covenants 67:11; Moses 1:11; Doctrine and Covenants 63:14; Matthew 5:27–28; 3 Nephi 12:27; Genesis 39:12; Doctrine and Covenants 10:27; 1 Peter 5:8; Doctrine and Covenants 3:9; 1 Corinthians 10:12; 2 Peter 3:17; Alma 13:27–29; Doctrine and Covenants 109:21; Luke 12:1; Doctrine and Covenants 50:6; Doctrine and Covenants 82:2; Doctrine and Covenants 82:1; Doctrine and Covenants 20:22; Hebrews 2:17–18; Doctrine and Covenants 84:43; Deuteronomy 4:9; Mosiah 4:29–30
234,Moses 1:39; Doctrine and Covenants 121:36; Hebrews 5:4–10; Doctrine and Covenants 107:3; Doctrine and Covenants 12:8; Doctrine and Covenants 121:41; Isaiah 55:1; Doctrine and Covenants 115:5; Doctrine and Covenants 84:88; Doctrine and Covenants 84:33; James 2:22; Doctrine and Covenants 4:2; Moses 1:39; Doctrine and Covenants 121:36; Hebrews 5:4–10; Doctrine and Covenants 107:3; Doctrine and Covenants 12:8; Doctrine and Covenants 121:41; Isaiah 55:1; Doctrine and Covenants 115:5; Doctrine and Covenants 84:88; Doctrine and Covenants 84:33; James 2:22; Doctrine and Covenants 4:2
235,Isaiah 40:29–31; Proverbs 28:1; Doctrine and Covenants 62:3; John 17:3–4; Matthew 5:9; Doctrine and Covenants 46:11; Isaiah 40:29–31; Proverbs 28:1; Doctrine and Covenants 62:3; John 17:3–4; Matthew 5:9; Doctrine and Covenants 46:11
236,Doctrine and Covenants 84:33; 2 Timothy 1:7; Acts 26:28; 1 Corinthians 9:16; Matthew 28:18–20; Jeremiah 8:20; Doctrine and Covenants 18:15; Doctrine and Covenants 84:33; 2 Timothy 1:7; Acts 26:28; 1 Corinthians 9:16; Matthew 28:18–20; Jeremiah 8:20; Doctrine and Covenants 18:15
237,Doctrine and Covenants 121:1; Matthew 6:10; Luke 11:2; 3 Nephi 13:10; Ether 12:29; Doctrine and Covenants 109:44; Moses 4:2; Doctrine and Covenants 130:22; Doctrine and Covenants 121:15; Doctrine and Covenants 121:24; Luke 1:38; Matthew 25:34; Matthew 25:35–40; Moroni 10:34; Doctrine and Covenants 121:1; Matthew 6:10; Luke 11:2; 3 Nephi 13:10; Ether 12:29; Doctrine and Covenants 109:44; Moses 4:2; Doctrine and Covenants 130:22; Doctrine and Covenants 121:15; Doctrine and Covenants 121:24; Luke 1:38; Matthew 25:34; Matthew 25:35–40; Moroni 10:34
238,Mosiah 3:19; Moses 6:57; 2 Nephi 2:7; Alma 34:9; Mosiah 16:9; Faith 1:3; Isaiah 1:18; Luke 22:41–44; Doctrine and Covenants 19:16; Doctrine and Covenants 58:42; Revelation 1:5; Mosiah 3:19; Moses 6:57; 2 Nephi 2:7; Alma 34:9; Mosiah 16:9; Faith 1:3; Luke 22:41–44; Doctrine and Covenants 19:16; Doctrine and Covenants 58:42; Revelation 1:5
239,Doctrine and Covenants 20:77; John 15:12; Matthew 5:44; Matthew 25:40; Moroni 7:47; 3 Nephi 14:12; 3 Nephi 27:21; Matthew 20:26; Matthew 20:32; Doctrine and Covenants 20:77; John 15:12; Matthew 5:44; Matthew 25:40; Moroni 7:47; 3 Nephi 14:12; 3 Nephi 27:21; Matthew 20:26; Matthew 20:32
